net,length_um
_11784_,337.27
_06820_,337.26
_13239_,336.115
_09096_,335.96
_12907_,335.42
_09678_,335.355
_12038_,335.08
net390,335.08
irq_pending\[10\],334.89
_09745_,334.72
_12424_,334.62
_12900_,333.6
net329,333.42
_06366_,333.095
genblk1.pcpi_mul.rd\[44\],332.95
_11697_,332.6
genblk1.pcpi_mul.rd\[57\],332.27
_11035_,332.13
_10763_,331.92
net327,331.22
clknet_5_24__leaf_clk,331.03
_13811_,330.95
_12534_,330.91
_12261_,330.6
_03391_,330.48
_05298_,330.38
net109,329.84
_06761_,329.25
_15025_,329.145
net44,328.44
net104,328.2
irq_pending\[6\],328.1
_09725_,327.94
_14657_,327.78
instr_rdinstrh,327.65
net207,327.54
_11581_,327.06
genblk1.pcpi_mul.rd\[15\],326.97
genblk1.pcpi_mul.rs2\[29\],326.92
genblk1.pcpi_mul.rd\[51\],326.88
_11495_,326.84
net190,326.24
clknet_5_26__leaf_clk,326.14
_09893_,326.08
_14838_,325.955
_06466_,325.94
_08696_,325.64
net234,325.58
_05208_,325.27
net292,324.86
_09210_,324.44
irq_pending\[17\],324.31
_12949_,323.825
_13182_,323.63
decoded_imm\[0\],323.52
genblk1.pcpi_mul.rd\[50\],322.95
_10898_,322.71
clknet_5_22__leaf_clk,322.6
_02751_,322.41
instr_slli,322.06
genblk1.pcpi_mul.rd\[20\],321.8
_09137_,321.62
net297,321.28
irq_pending\[25\],320.76
_09055_,320.595
_09871_,320.38
_13946_,320.27
_10800_,320.24
_12709_,320
_08936_,319.86
net299,318.56
_12581_,318.14
_06649_,318.01
_08896_,317.985
_09944_,317.78
_09353_,317.77
_08165_,317.62
net110,317.27
_11571_,317.24
_09350_,316.73
_13240_,316.56
_11635_,316.09
_12458_,315.53
_11514_,315.39
_05393_,314.74
_09897_,314.18
_14603_,313.8
_10827_,313.76
net14,313.76
_14361_,313.645
instr_waitirq,313.53
_09165_,313.5
_11293_,313.36
_08793_,313.16
_01699_,312.89
genblk1.pcpi_mul.rd\[53\],312.64
_08728_,312.57
_09058_,312.47
_11880_,312.185
_11934_,312.09
_11783_,311.88
_05681_,311.42
clknet_5_16__leaf_clk,311.38
_01890_,311.18
net244,310.72
_11298_,310.705
_10653_,310.53
_11271_,310.46
_09696_,310.34
instr_jalr,310.1
_05480_,309.36
_13665_,309.36
_12158_,309.09
_13494_,308.87
_13033_,308.78
_08876_,308.35
_09356_,308.185
clknet_5_23__leaf_clk,308.15
_13917_,307.76
_06457_,307.5
net212,307.235
_08933_,306.88
net358,306.88
_11853_,306.82
_13369_,306.7
_11844_,306.53
_13178_,305.58
irq_mask\[20\],305.52
_08892_,304.98
_05489_,304.64
_10900_,304.49
net267,304.275
_03774_,304.08
_14841_,303.97
genblk1.pcpi_mul.rd\[40\],303.8
net256,303.32
_12770_,303.29
mem_rdata_q\[15\],303.285
_09624_,302.88
_09383_,302.66
_11852_,302.59
_09031_,302.28
_10124_,302.02
_11708_,302.02
clknet_5_12__leaf_clk,302
_10840_,301.89
irq_pending\[27\],301.87
_09618_,301.82
_08743_,301.59
net393,301.32
_09247_,300.92
_02727_,300.84
_08999_,300.68
_14799_,300.65
_10793_,300.6
_10757_,300.31
clknet_5_3__leaf_clk,299.9
_12898_,299.845
_08987_,299.45
net295,299.2
_11384_,299.045
net214,298.44
clknet_5_18__leaf_clk,298.315
genblk1.pcpi_mul.rd\[22\],298.2
irq_pending\[16\],297.805
_14988_,297.8
clknet_5_7__leaf_clk,297.7
_10319_,297.55
_12579_,297.425
net158,297.35
_09902_,297.07
_08863_,296.89
_11263_,296.885
_07442_,296.865
_09732_,296.51
genblk1.pcpi_mul.rd\[42\],296.22
_10480_,295.58
_02375_,295.54
clknet_5_30__leaf_clk,295.26
_13323_,295.08
_09615_,294.92
_13088_,294.92
net97,294.42
_06322_,294.08
_10867_,293.42
_09697_,293.24
_13173_,292.74
clknet_5_19__leaf_clk,292.72
genblk1.pcpi_mul.rd\[41\],292.59
_12252_,292.585
_06852_,292.57
_11448_,292.55
genblk1.pcpi_mul.rs1\[32\],292.3
irq_pending\[7\],292.01
_13833_,291.9
_13095_,291.34
_08861_,291.28
net126,290.24
_13801_,289.91
_05353_,289.9
genblk1.pcpi_mul.rs1\[27\],289.785
_11341_,289.11
clknet_5_29__leaf_clk,289.08
_03355_,288.86
_09229_,288.69
clknet_5_4__leaf_clk,288.06
irq_pending\[29\],287.39
_02871_,287.38
_09017_,287.33
_05674_,286.67
_12953_,286.63
net139,286.575
_10960_,286.565
_09343_,286.56
_10735_,286.54
_12204_,286.53
_13047_,286.2
_08955_,285.84
_09753_,285.53
net331,285.46
_14914_,285.4
_09775_,285.34
genblk1.pcpi_mul.rd\[43\],285.25
net4,285.16
_13244_,285.08
_10715_,284.96
_11436_,284.695
_11981_,284.66
_03002_,284.62
_07475_,283.75
genblk1.pcpi_mul.rs1\[26\],283.68
_13858_,283.58
_11769_,282.76
net326,282.46
_11351_,282.44
_02732_,282.12
_05311_,282.04
_07771_,281.83
_11819_,281.8
_12043_,281.655
_10511_,281.59
_05623_,281.4
_09363_,281.32
_02362_,281.24
_12072_,280.92
_12407_,280.755
_12903_,280.59
_06331_,280.54
_12958_,280.3
_08901_,280.16
reg_next_pc\[31\],280.085
net245,280.04
_08827_,279.98
_10485_,279.755
_13347_,279.62
_09164_,279.565
net20,279.26
_09470_,279.17
net89,279.06
_01726_,278.96
_09734_,278.52
_09748_,278.36
_10728_,278.27
genblk1.pcpi_mul.rs2\[31\],278.16
_12309_,278.08
alu_out_q\[0\],278.01
_13177_,277.59
_08812_,277.54
_08668_,276.92
_07770_,276.77
_11349_,276.45
_11348_,276.33
irq_pending\[18\],276.32
_12113_,275.85
_11621_,275.7
irq_pending\[4\],275.61
_08535_,275.49
_08686_,275.46
_13260_,274.75
_07411_,274.58
_11333_,274.435
_13638_,274.32
irq_pending\[14\],274.15
_13090_,273.95
